City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
205,Saint George,37.1041,-113.5841,55.99,13,1,5.75,US,2021-03-30 19:06:40
206,Kununurra,-15.7667,128.7333,71.6,83,5,1.14,AU,2021-03-30 19:06:40
207,Fare,-16.7,-151.0167,80.4,76,20,3.78,PF,2021-03-30 19:06:40
208,Urumqi,43.801,87.6005,41.0,81,0,4.47,CN,2021-03-30 19:03:30
209,Nosy Varika,-20.5833,48.5333,74.19,87,45,4.76,MG,2021-03-30 19:06:40
210,Deer Lake,49.1667,-57.4316,23.0,58,75,20.71,CA,2021-03-30 19:06:40
211,Ugoofaaru,5.6667,73.0,83.28,72,99,4.61,MV,2021-03-30 19:06:41
212,Grand Gaube,-20.0064,57.6608,78.01,75,100,3.0,MU,2021-03-30 19:06:41
213,Kernersville,36.1199,-80.0736,70.0,32,20,6.91,US,2021-03-30 19:06:41
214,Fort Saint James,54.4333,-124.25,38.39,54,100,4.65,CA,2021-03-30 19:06:41
215,Sao Joao Da Barra,-21.6403,-41.0511,89.6,55,0,4.61,BR,2021-03-30 19:06:41
216,Alice Springs,-23.7,133.8833,62.6,48,0,8.05,AU,2021-03-30 19:06:41
217,Saint-Philippe,-21.3585,55.7679,78.8,73,0,3.44,RE,2021-03-30 19:06:41
218,Korla,41.7597,86.1469,39.54,83,100,13.42,CN,2021-03-30 19:06:42
219,Coquimbo,-29.9533,-71.3436,64.4,68,0,10.36,CL,2021-03-30 19:06:42
220,Havre-Saint-Pierre,50.2334,-63.5986,24.8,63,75,14.97,CA,2021-03-30 19:06:42
221,Kaitangata,-46.2817,169.8464,54.25,96,95,4.14,NZ,2021-03-30 19:06:42
222,Launceston,-41.45,147.1667,50.0,87,74,1.1,AU,2021-03-30 19:06:42
223,Lorengau,-2.0226,147.2712,81.1,76,100,6.26,PG,2021-03-30 19:06:42
224,Tilichiki,60.4667,166.1,7.88,91,100,7.54,RU,2021-03-30 19:06:42
225,Samarai,-10.6167,150.6667,81.59,75,97,4.88,PG,2021-03-30 19:06:44
226,Mandal,25.45,74.5667,80.37,8,4,9.28,IN,2021-03-30 19:06:44
227,Rzhev,56.2624,34.3282,39.58,93,100,15.01,RU,2021-03-30 19:06:44
228,Tiksi,71.6872,128.8694,-4.61,99,100,6.15,RU,2021-03-30 19:06:44
229,Mount Isa,-20.7333,139.5,75.2,31,0,8.05,AU,2021-03-30 19:06:44
230,Leiyang,26.4024,112.8591,69.85,95,78,2.68,CN,2021-03-30 19:06:44
231,Ukiah,39.1502,-123.2078,68.0,30,1,3.44,US,2021-03-30 19:06:45
232,Buchanan,5.8808,-10.0467,80.6,89,40,4.61,LR,2021-03-30 19:06:45
233,Yumen,40.2833,97.2,36.25,88,99,5.19,CN,2021-03-30 19:02:20
234,Aswan,24.0934,32.907,67.82,19,0,13.13,EG,2021-03-30 19:06:43
235,Ahipara,-35.1667,173.1667,64.74,93,29,6.44,NZ,2021-03-30 19:06:45
236,Pasighat,28.0667,95.3333,66.6,64,25,4.76,IN,2021-03-30 19:06:46
237,Krasnyy Yar,46.5331,48.3456,39.2,70,0,11.18,RU,2021-03-30 19:06:46
238,Puqi,29.7167,113.8833,65.86,96,100,3.2,CN,2021-03-30 19:06:46
239,Muravlenko,63.7898,74.523,-19.73,98,22,6.02,RU,2021-03-30 19:06:46
240,Sioux Lookout,50.1001,-91.917,21.2,68,90,14.97,CA,2021-03-30 19:06:46
241,Marzuq,14.4,46.4667,70.36,31,97,6.06,YE,2021-03-30 19:06:46
242,Edd,13.9297,41.6925,84.94,48,5,12.06,ER,2021-03-30 19:06:47
243,Pangnirtung,66.1451,-65.7125,-0.4,78,40,25.32,CA,2021-03-30 19:06:47
244,Marigot,18.0667,-63.0833,84.2,65,75,14.97,MF,2021-03-30 19:06:47
245,Itarema,-2.9248,-39.9167,81.97,76,96,10.67,BR,2021-03-30 19:06:47
246,Ahuimanu,21.4447,-157.8378,78.8,73,90,12.66,US,2021-03-30 19:06:47
247,Tessalit,20.1986,1.0114,81.55,4,8,9.48,ML,2021-03-30 19:06:47
248,Mahibadhoo,3.7833,72.9667,82.99,78,100,13.44,MV,2021-03-30 19:06:47
249,Merauke,-8.4667,140.3333,76.77,86,45,6.29,ID,2021-03-30 19:06:47
