City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
232,Imuris,MX,30.7833,-110.8667,62.96,25,7,1.39,clear sky
233,Gelnica,SK,48.8558,20.9371,36.0,93,20,4.61,fog
234,Hamilton,US,39.1834,-84.5333,59.0,87,20,8.05,mist
235,Itaituba,BR,-4.2761,-55.9836,71.6,88,100,1.23,overcast clouds
236,Pitimbu,BR,-7.4706,-34.8086,75.2,100,0,5.75,clear sky
237,Ambulu,ID,-8.345,113.6058,83.46,75,45,7.11,scattered clouds
238,Emba,KZ,48.8264,58.1442,55.13,48,14,15.08,few clouds
239,Pangnirtung,CA,66.1451,-65.7125,19.4,93,90,9.22,light snow
240,Zhigalovo,RU,54.8097,105.1578,39.87,57,100,9.48,overcast clouds
241,Mount Gambier,AU,-37.8333,140.7667,59.0,72,90,17.27,overcast clouds
242,Fortuna,US,40.5982,-124.1573,43.0,93,90,5.75,overcast clouds
243,Tadine,NC,-21.55,167.8833,75.76,93,100,15.55,light rain
244,Adrar,MR,20.5022,-10.0711,70.77,18,0,9.31,clear sky
245,Northam,GB,51.0333,-4.2167,43.0,92,100,5.01,overcast clouds
246,Nelson Bay,AU,-32.7167,152.15,80.6,50,40,8.05,scattered clouds
247,Hofn,IS,64.2539,-15.2082,25.79,52,24,18.21,few clouds
248,Pochutla,MX,15.7432,-96.4661,78.01,78,91,4.68,overcast clouds
249,Namibe,AO,-15.1961,12.1522,77.0,88,40,5.08,scattered clouds
250,Shelui,TZ,-4.3667,34.2,74.23,67,19,4.43,few clouds
251,Denia,ES,38.8408,0.1057,54.0,85,100,1.99,overcast clouds
252,Hobyo,SO,5.3505,48.5268,85.53,58,9,9.93,clear sky
253,Lat Yao,TH,15.751,99.7893,99.36,31,12,4.32,few clouds
254,Cabo San Lucas,MX,22.8909,-109.9124,72.0,37,6,5.99,clear sky
255,Muros,ES,42.7762,-9.0603,48.99,94,100,6.91,overcast clouds
256,Te Anau,NZ,-45.4167,167.7167,51.8,79,18,3.49,few clouds
257,Okhotsk,RU,59.3833,143.3,27.32,70,0,11.18,clear sky
258,San Quintin,MX,30.4833,-115.95,58.32,86,13,12.26,few clouds
259,Yashkul,RU,46.1711,45.3435,60.73,50,100,9.46,overcast clouds
260,Robertsport,LR,6.7533,-11.3686,80.26,85,35,6.29,light rain
261,Parabel,RU,58.6978,81.4825,36.66,88,90,7.14,overcast clouds
262,Eureka,US,40.8021,-124.1637,43.0,87,13,7.16,few clouds
263,Coahuayana,MX,18.7333,-103.6833,67.08,82,3,3.36,clear sky
264,Kyzyl-Suu,KG,42.3414,78.0056,45.39,62,63,5.68,broken clouds
265,Rioja,AR,-29.4111,-66.8507,72.28,80,91,9.84,overcast clouds
266,Upernavik,GL,72.7868,-56.1549,24.58,83,100,4.45,overcast clouds
267,Manokwari,ID,-0.8667,134.0833,82.99,76,100,5.97,overcast clouds
268,Meulaboh,ID,4.1363,96.1285,85.86,68,71,9.17,broken clouds
269,Grand-Santi,GF,4.25,-54.3833,71.49,99,81,1.63,broken clouds
270,Batagay,RU,67.6333,134.6333,12.42,81,100,7.54,overcast clouds
271,Clyde River,CA,70.4692,-68.5914,8.6,85,90,32.21,snow
272,Norman Wells,CA,65.282,-126.8329,6.8,51,75,3.44,broken clouds
273,Debre Sina,ET,9.85,39.7667,67.39,11,10,7.52,clear sky
274,Conroe,US,30.3119,-95.456,72.0,88,90,12.66,mist
275,Emerald,AU,-23.5333,148.1667,91.4,22,92,12.66,overcast clouds
276,Alekseyevka,RU,50.6309,38.6903,43.23,50,100,8.05,overcast clouds
277,Port Blair,IN,11.6667,92.75,86.02,62,25,1.99,scattered clouds
278,Governador Valadares,BR,-18.8511,-41.9494,64.53,95,100,1.79,overcast clouds
279,Abu Samrah,SY,35.3029,37.1841,63.18,47,8,12.41,clear sky
280,Kralendijk,BQ,12.15,-68.2667,78.8,89,56,10.36,broken clouds
281,Asau,RO,46.4333,26.4,41.0,56,0,1.14,clear sky
282,Los Llanos De Aridane,ES,28.6585,-17.9182,64.4,77,20,3.44,few clouds
283,Rio Verde De Mato Grosso,BR,-18.9181,-54.8442,70.65,85,2,5.08,clear sky
284,Winnemucca,US,40.973,-117.7357,41.0,30,1,6.91,clear sky
285,Vestmannaeyjar,IS,63.4427,-20.2734,24.46,66,0,23.82,clear sky
286,Sabang,ID,5.8933,95.3214,83.28,70,98,6.26,overcast clouds
287,Ajdabiya,LY,30.7554,20.2263,60.15,44,0,16.24,clear sky
288,Tabou,CI,4.423,-7.3528,79.79,86,89,7.02,overcast clouds
289,Topolobampo,MX,25.6,-109.05,68.0,91,2,1.01,clear sky
290,Waipawa,NZ,-41.4122,175.5153,64.99,77,20,10.36,few clouds
291,Qaanaaq,GL,77.484,-69.3632,10.11,67,100,5.59,overcast clouds
292,Sept-Iles,CA,50.2001,-66.3821,37.99,100,90,2.3,overcast clouds
293,Bambanglipuro,ID,-7.95,110.2833,85.51,68,86,8.88,overcast clouds
294,Iberia,US,29.9502,-91.7507,71.6,100,90,8.05,mist
295,Hasaki,JP,35.7333,140.8333,63.0,51,75,10.36,broken clouds
296,Montana,BG,43.4125,23.225,39.0,72,0,7.94,clear sky
297,Moranbah,AU,-22.0016,148.0466,89.33,24,16,10.04,few clouds
298,Aswan,EG,24.0934,32.907,82.38,19,23,18.97,few clouds
299,Umm Lajj,SA,25.0213,37.2685,78.89,51,5,10.54,clear sky
300,Srednekolymsk,RU,67.45,153.6833,15.82,89,100,10.67,overcast clouds
301,Pericos,MX,25.05,-107.7,64.99,89,0,4.45,clear sky
302,Gazanjyk,TM,39.2446,55.5154,83.01,19,2,13.2,clear sky
303,Bosobolo,CD,4.1833,19.9,80.71,61,98,5.68,overcast clouds
304,Bodden Town,KY,19.2833,-81.25,78.01,1,100,8.99,overcast clouds
305,Altos Del Rosario,CO,8.7944,-74.1658,70.9,98,100,1.07,overcast clouds
306,Piterka,RU,50.6803,47.4454,47.55,80,100,17.92,overcast clouds
307,Snezhnogorsk,RU,69.1933,33.2531,30.2,64,0,8.95,clear sky
308,Pisco,PE,-13.7,-76.2167,66.99,82,0,8.05,clear sky
309,Illela,NG,13.7292,5.2975,86.31,9,99,7.54,overcast clouds
310,Gaya,IN,24.7833,85.0,95.0,21,40,6.91,haze
311,Tiksi,RU,71.6872,128.8694,-0.33,95,100,9.84,overcast clouds
312,Dong Hoi,VN,17.4833,106.6,81.86,68,28,8.32,scattered clouds
313,Airai,TL,-8.9266,125.4092,70.02,72,40,2.71,scattered clouds
314,Olga,RU,43.7444,135.2892,45.75,39,100,7.96,overcast clouds
315,Necochea,AR,-38.5473,-58.7368,59.0,99,58,5.23,broken clouds
316,Porto Torres,IT,40.835,8.3972,42.8,70,0,4.61,clear sky
317,Llandrindod Wells,GB,52.2416,-3.3787,44.01,95,100,3.0,light rain
318,Buchanan,LR,5.8808,-10.0467,75.2,94,40,6.91,light rain
319,Yar-Sale,RU,66.8333,70.8333,33.06,94,100,16.89,overcast clouds
320,Oltu,TR,40.5498,42.0013,62.24,44,100,6.73,overcast clouds
321,Balkanabat,TM,39.5108,54.3671,86.77,14,17,13.18,few clouds
322,Saldanha,ZA,-33.0117,17.9442,63.93,87,46,10.89,scattered clouds
323,Myanaung,MM,18.2833,95.3167,98.33,22,0,6.82,clear sky
324,Radis,TN,36.7681,10.2753,53.6,62,0,3.44,clear sky
325,Bako,ET,5.7833,36.5667,72.63,52,92,1.77,overcast clouds
326,Mananjary,MG,-21.2167,48.3333,79.14,68,87,5.59,overcast clouds
327,Zabaykalsk,RU,49.6333,117.3167,63.19,14,19,13.15,few clouds
328,Springbok,ZA,-29.6643,17.8865,79.07,26,51,4.9,broken clouds
329,Lagos,NG,6.5833,3.75,78.8,89,20,3.44,few clouds
330,Daru,PG,-9.0763,143.2092,81.72,77,98,9.48,overcast clouds
331,Nieuw Nickerie,SR,5.95,-56.9833,75.4,93,99,4.92,light rain
332,Ostrovnoy,RU,68.0531,39.5131,31.46,89,100,23.76,light snow
333,Ibra,OM,22.6906,58.5334,89.33,16,0,5.5,clear sky
334,Houma,US,29.5958,-90.7195,73.99,100,90,3.44,overcast clouds
335,Yuanping,CN,38.7153,112.7575,64.69,34,100,12.01,overcast clouds
336,Vila,PT,42.0304,-8.1588,57.0,82,0,5.75,clear sky
337,Husavik,IS,66.0449,-17.3389,15.8,62,40,4.61,scattered clouds
338,Trat,TH,12.5,102.5,91.99,62,20,11.5,few clouds
339,Kurchum,KZ,48.5722,83.6542,53.33,52,6,9.51,clear sky
340,Omboue,GA,-1.5746,9.2618,75.18,91,100,8.25,overcast clouds
341,Launceston,AU,-41.45,147.1667,60.01,41,40,9.22,scattered clouds
342,Baherden,TM,38.4362,57.4316,83.97,17,0,8.79,clear sky
343,Mullovka,RU,54.2,49.4,35.6,100,90,6.71,light rain
344,Rongcheng,CN,30.634,117.8517,67.87,33,2,11.97,clear sky
345,Aksarka,RU,66.5606,67.7975,33.57,97,100,14.14,overcast clouds
